sourceModule,targetModule,edgeOccurrences,callerFunctions,calledFunctions
,11-render-materials-player-model.js,7,createFurnitureModel,mat | premiumBox
,12-world-resources-nature.js,5,createFurnitureModel,shadeColor
,18-water-fishing-boats.js,1,createFurnitureModel,furnitureSpec
,23-vehicle-effects-driving.js,4,updateBuildPreview,buildPlacementCandidate | createBuildPreviewMesh | disposeBuildPreview | updateBuildPanel
01-build-persistence.js,00a-visual-foundation-avatar-v2.js,3,mergeEntityCollections | normalizeBuildRecord | normalizeState,defaultAvatarV2 | normalizeAvatarV2 | stableBuildId
02-state-save-cloud-account.js,00a-visual-foundation-avatar-v2.js,1,mergeCloudProgress,normalizeAvatarV2
02-state-save-cloud-account.js,01-build-persistence.js,10,commitState | loadState | mergeCloudProgress | syncGameAccount,applyBuildTombstones | mergeBuildCollections | mergeBuildTombstones | mergeEntityCollections | normalizeBuildTombstones | normalizeState
02-state-save-cloud-account.js,03-ui-modal-install-pwa.js,14,addXP | commitState | loadState | mergeCloudProgress | openAccountCenter | openAccountForm | openAccountLogoutGate,awardMedal | closeModal | ensureDailyChallenges | openModal | toast
02-state-save-cloud-account.js,04-education-daily-quiz.js,2,commitState | loadState,updateDailyBadge
02-state-save-cloud-account.js,06-missions-profile-hud-inventory-tools.js,17,addXP | commitState | loadState | mergeCloudProgress | openAccountCenter | syncCloudProgress | syncGameAccount,applyPlayerName | hasValidPlayerName | openPlayerNameModal | sanitizePlayerName | updateHUD | updateLobbyStats | updatePlayerNameUI
02-state-save-cloud-account.js,24-construction-system.js,1,mergeCloudProgress,reconcileWorldBuilds
02-state-save-cloud-account.js,27-npc-enemies-combat-camera-action.js,2,accountStatusText | syncGameAccount,publicPlayerName
02-state-save-cloud-account.js,28-multiplayer-social-online.js,2,openAccountCenter | openAccountForm,escapeHtml
03-ui-modal-install-pwa.js,02-state-save-cloud-account.js,7,addCoins | addReputation | awardMedal | ensureDailyChallenges | isOfficialOtthiGameAddress | setFlag | trackDaily,saveState
03-ui-modal-install-pwa.js,04-education-daily-quiz.js,1,trackDaily,updateDailyBadge
03-ui-modal-install-pwa.js,05-avatar-life-customization.js,1,setFlag,evaluateMissions
03-ui-modal-install-pwa.js,06-missions-profile-hud-inventory-tools.js,2,addCoins | addReputation,updateHUD
03-ui-modal-install-pwa.js,18-water-fishing-boats.js,3,closeModal,cancelFishingSession | clearExtensionPreview | stopFishingVisual
03-ui-modal-install-pwa.js,22-careers-jobs-uniforms.js,1,closeModal,startEngineSound
03-ui-modal-install-pwa.js,24-construction-system.js,1,openModal,scheduleStableResize
04-education-daily-quiz.js,02-state-save-cloud-account.js,7,claimDailyQuest | finishSoloEducationGame | runEducationGame | triggerEmote,addXP | saveState
04-education-daily-quiz.js,03-ui-modal-install-pwa.js,23,claimDailyQuest | dailyChallengesHtml | finishSoloEducationGame | openCollection | openEducationHub | runEducationGame | startSoloEducationGame | triggerEmote | updateDailyBadge,addCoins | addReputation | awardMedal | beep | dailyDefinition | ensureDailyChallenges | openModal | toast | vibrate
04-education-daily-quiz.js,06-missions-profile-hud-inventory-tools.js,1,openEducationHub,playerDisplayName
04-education-daily-quiz.js,27-npc-enemies-combat-camera-action.js,1,startSoloEducationGame,closeChallengePrompt
04-education-daily-quiz.js,28-multiplayer-social-online.js,5,openEducationHub | runEducationGame,escapeHtml | openSocialHub
05-avatar-life-customization.js,00a-visual-foundation-avatar-v2.js,2,openAvatarStudio,normalizeAvatarV2 | updateAvatarV2LegacyChoice
05-avatar-life-customization.js,02-state-save-cloud-account.js,1,openAvatarStudio,saveState
