occurrence,module,functionBoundaryOwner,line,column,snippet
1,39-gm-admin-panel.js,vehicleDurabilityV704,5,24,"const gmAccessCode=()=>String.fromCharCode(42,49,55,55);"
2,39-gm-admin-panel.js,vehicleBrokenV704,6,23,"const gmEscape=value=>String(value??'').replace(/[&<>'""]/g,char=>({'&':'&amp;','<':'&lt;','>':'&gt;',""'"":'&#39;','""':'&quot;'}[char]));"
3,39-gm-admin-panel.js,vehicleBrokenV704,6,66,"const gmEscape=value=>String(value??'').replace(/[&<>'""]/g,char=>({'&':'&amp;','<':'&lt;','>':'&gt;',""'"":'&#39;','""':'&quot;'}[char]));"
4,39-gm-admin-panel.js,vehiclePerformanceV704,7,45,"const gmPositiveInt=(value,max=GM_MAX_ADD)=>{const number=Math.floor(Number(value)||0);return number>0?Math.min(number,max):0;};"
5,39-gm-admin-panel.js,setVehicleDurabilityV704,8,24,"const gmItemKey=value=>String(value||'').trim().replace(/[^A-Za-z0-9_-]/g,'').slice(0,48);"
6,00-runtime-foundation.js,gmDeviceId,17,34,"const $ = (s, root = document) => root.querySelector(s);"
7,00-runtime-foundation.js,createSportsComplexV704,18,35,"const $$ = (s, root = document) => [...root.querySelectorAll(s)];"
8,00-runtime-foundation.js,updateVehicleDebrisV704,19,27,"const clamp = (v, a, b) => Math.max(a, Math.min(b, v));"
9,00-runtime-foundation.js,applyVehicleImpactDamageV704,20,26,"const lerp = (a, b, t) => a + (b - a) * t;"
10,00-runtime-foundation.js,applyVehicleImpactDamageV704,21,43,"const approachNumber=(value,target,step)=>value<target?Math.min(target,value+Math.abs(step)):Math.max(target,value-Math.abs(step));"
11,36a-vehicle-damage-repair-v704.js,applyVehicleImpactDamageV704,21,320,"if(speed>=8)spawnVehicleDebrisV704(vehicle,damage/12);if(after<=0){player.car.speed=0;player.vx=0;player.vz=0;player.car.broken=true;if(typeof stopEngineSound==='function')stopEngineSound();vibrate([70,60,90]);toast('O veículo quebrou. Ele não pode continuar: repare ou solicite reboque.','warn',3600);setTimeout(()=>{const active=typeof currentVehicleRef==='function'?currentVehicleRef():vehicle;if(player.vehicle&&vehicleBrokenV704(active))openBrokenVehicleOptionsV704(active);},650);}else if(after<25)toast(`Veículo muito danificado: ${after}% de integridade. Procure a oficina.`,'warn',2800);else toast(`Batida: integridade ${after}%.`,'warn',1300);saveState(true);return after;"
12,00-runtime-foundation.js,gmGrantSummary,22,31,"const lerpAngle = (a, b, t) => { let d=((b-a+Math.PI)%(Math.PI*2))-Math.PI; if(d<-Math.PI)d+=Math.PI*2; return a+d*t; };"
13,00-runtime-foundation.js,gmGrantSummary,23,29,"const distance2D = (a, b) => Math.hypot(a.x - b.x, a.z - b.z);"
14,00-runtime-foundation.js,v702TextureMaterial,24,18,const uid = () => (crypto.randomUUID ? crypto.randomUUID() : `p-${Date.now()}-${Math.random().toString(16).slice(2)}`);
15,00-runtime-foundation.js,repairVehicleV704,25,47,"const safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
