type,name,module,line,snippet
top-level-arrow,gmAccessCode,39-gm-admin-panel.js,5,"const gmAccessCode=()=>String.fromCharCode(42,49,55,55);"
top-level-arrow,gmEscape,39-gm-admin-panel.js,6,"const gmEscape=value=>String(value??'').replace(/[&<>'""]/g,char=>({'&':'&amp;','<':'&lt;','>':'&gt;',""'"":'&#39;','""':'&quot;'}[char]));"
function-declaration,v704SportGroundY,00-runtime-foundation.js,6,
function-declaration,ensureVehicleDamageStateV704,00-runtime-foundation.js,7,
top-level-arrow,gmPositiveInt,39-gm-admin-panel.js,7,"const gmPositiveInt=(value,max=GM_MAX_ADD)=>{const number=Math.floor(Number(value)||0);return number>0?Math.min(number,max):0;};"
top-level-arrow,gmItemKey,39-gm-admin-panel.js,8,"const gmItemKey=value=>String(value||'').trim().replace(/[^A-Za-z0-9_-]/g,'').slice(0,48);"
function-declaration,v704SetRaceHud,00-runtime-foundation.js,11,
function-declaration,v704HideRaceHud,00-runtime-foundation.js,16,
top-level-arrow,$,00-runtime-foundation.js,17,"const $ = (s, root = document) => root.querySelector(s);"
top-level-arrow,$$,00-runtime-foundation.js,18,"const $$ = (s, root = document) => [...root.querySelectorAll(s)];"
top-level-arrow,clamp,00-runtime-foundation.js,19,"const clamp = (v, a, b) => Math.max(a, Math.min(b, v));"
top-level-arrow,lerp,00-runtime-foundation.js,20,"const lerp = (a, b, t) => a + (b - a) * t;"
top-level-arrow,approachNumber,00-runtime-foundation.js,21,"const approachNumber=(value,target,step)=>value<target?Math.min(target,value+Math.abs(step)):Math.max(target,value-Math.abs(step));"
top-level-arrow,lerpAngle,00-runtime-foundation.js,22,"const lerpAngle = (a, b, t) => { let d=((b-a+Math.PI)%(Math.PI*2))-Math.PI; if(d<-Math.PI)d+=Math.PI*2; return a+d*t; };"
function-declaration,v704SportBall,00-runtime-foundation.js,22,
top-level-arrow,distance2D,00-runtime-foundation.js,23,"const distance2D = (a, b) => Math.hypot(a.x - b.x, a.z - b.z);"
function-declaration,vehicleIdV704,00-runtime-foundation.js,23,
top-level-arrow,uid,00-runtime-foundation.js,24,const uid = () => (crypto.randomUUID ? crypto.randomUUID() : `p-${Date.now()}-${Math.random().toString(16).slice(2)}`);
top-level-arrow,safePointerCapture,00-runtime-foundation.js,25,"const safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
top-level-arrow,safePointerRelease,00-runtime-foundation.js,26,"const safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
function-declaration,v704CreateSimpleAthlete,00-runtime-foundation.js,28,
function-declaration,vehicleDurabilityV704,00-runtime-foundation.js,29,
top-level-arrow,safeLocalGet,00-runtime-foundation.js,30,const safeLocalGet = key => { try { return window.localStorage?.getItem(key) ?? null; } catch { return null; } };
function-declaration,ensureWorldEvolutionState,00-runtime-foundation.js,31,
top-level-arrow,safeLocalSet,00-runtime-foundation.js,31,"const safeLocalSet = (key, value) => { try { window.localStorage?.setItem(key, value); return true; } catch { return false; } };"
top-level-arrow,safeLocalRemove,00-runtime-foundation.js,32,const safeLocalRemove = key => { try { window.localStorage?.removeItem(key); return true; } catch { return false; } };
top-level-arrow,configuredRoomIds,00-runtime-foundation.js,33,const configuredRoomIds = () => (window.OTTHI_CONFIG?.rooms || []).map(item => item.id);
top-level-arrow,normalizeRoomId,00-runtime-foundation.js,34,const normalizeRoomId = value => {
function-declaration,vehicleBrokenV704,00-runtime-foundation.js,35,
function-declaration,vehiclePerformanceV704,00-runtime-foundation.js,41,
top-level-arrow,roomDisplayName,00-runtime-foundation.js,42,const roomDisplayName = value => {
function-declaration,setVehicleDurabilityV704,00-runtime-foundation.js,47,
function-declaration,ensureGMState,00a-visual-foundation-avatar-v2.js,54,
function-declaration,v704FieldLine,00a-visual-foundation-avatar-v2.js,58,
function-declaration,v704CreateGoal,00a-visual-foundation-avatar-v2.js,64,
function-declaration,spawnVehicleDebrisV704,00a-visual-foundation-avatar-v2.js,83,
function-declaration,professionalTerrainHeightAt,00a-visual-foundation-avatar-v2.js,85,
function-declaration,gmDeviceId,00a-visual-foundation-avatar-v2.js,96,
function-declaration,createSportsComplexV704,00a-visual-foundation-avatar-v2.js,100,
function-declaration,updateVehicleDebrisV704,00a-visual-foundation-avatar-v2.js,107,
function-declaration,applyVehicleImpactDamageV704,00a-visual-foundation-avatar-v2.js,113,
function-declaration,gmGrantSummary,00a-visual-foundation-avatar-v2.js,126,
function-declaration,nearestRepairableVehicleV704,00a-visual-foundation-avatar-v2.js,137,
function-declaration,v702TextureMaterial,00a-visual-foundation-avatar-v2.js,139,
function-declaration,repairVehicleV704,00a-visual-foundation-avatar-v2.js,143,
function-declaration,gmNormalizeIncomingGrant,00a-visual-foundation-avatar-v2.js,156,
function-declaration,createV702GroundRecovery,00a-visual-foundation-avatar-v2.js,169,
function-declaration,towVehicleToWorkshopV704,00a-visual-foundation-avatar-v2.js,173,
function-declaration,openBrokenVehicleOptionsV704,00a-visual-foundation-avatar-v2.js,191,
function-declaration,gmWaitForStableAccountState,00a-visual-foundation-avatar-v2.js,192,
function-declaration,terrainVertexColor,00a-visual-foundation-avatar-v2.js,205,
function-declaration,createMountainTerrain,00a-visual-foundation-avatar-v2.js,211,
function-declaration,createVehicleRepairStationV704,00a-visual-foundation-avatar-v2.js,257,
function-declaration,createDesertBiome,00a-visual-foundation-avatar-v2.js,271,
function-declaration,createCourtV704,00a-visual-foundation-avatar-v2.js,274,
function-declaration,createLakeDepthLayers,00a-visual-foundation-avatar-v2.js,305,
function-declaration,openFootballV704,00a-visual-foundation-avatar-v2.js,313,
function-declaration,resetFootballBallV704,00a-visual-foundation-avatar-v2.js,333,
function-declaration,startFootballV704,00a-visual-foundation-avatar-v2.js,338,
function-declaration,farmPlotRecord,00a-visual-foundation-avatar-v2.js,360,
function-declaration,footballKickV704,00a-visual-foundation-avatar-v2.js,363,
function-declaration,cropStage,00a-visual-foundation-avatar-v2.js,365,
function-declaration,updateFootballV704,,368,
function-declaration,queueGMGrant,01-build-persistence.js,369,
function-declaration,updateFarmPlotVisual,01-build-persistence.js,370,
function-declaration,useFarmPlot,01-build-persistence.js,375,
function-declaration,gmStatus,01-build-persistence.js,384,
function-declaration,createFarmingSystem,01-build-persistence.js,395,
function-declaration,gmSetBusy,01-build-persistence.js,399,
function-declaration,gmUserName,01-build-persistence.js,404,
function-declaration,gmItemMeta,01-build-persistence.js,409,
function-declaration,gmInventoryKeys,01-build-persistence.js,414,
function-declaration,gmFormatDate,01-build-persistence.js,419,
function-declaration,gmRenderUserList,01-build-persistence.js,424,
function-declaration,useDigSite,01-build-persistence.js,425,
function-declaration,createDigSites,01-build-persistence.js,430,
top-level-arrow,defaultState,01-build-persistence.js,435,const defaultState = () => ({
function-declaration,v704UpdateScoreboard,01-build-persistence.js,448,
function-declaration,startCourtV704,01-build-persistence.js,453,
function-declaration,decorateThemedCitizen,01-build-persistence.js,455,
function-declaration,gmGrantHistoryMarkup,01-build-persistence.js,459,
function-declaration,courtHitV704,01-build-persistence.js,468,
function-declaration,resetCourtServeV704,01-build-persistence.js,473,
function-declaration,courtPointV704,01-build-persistence.js,478,
function-declaration,updateCourtV704,01-build-persistence.js,483,
function-declaration,gmRenderSelected,01-build-persistence.js,484,
function-declaration,createThemedCitizens,02-state-save-cloud-account.js,495,
function-declaration,createCameraPitchButtons,02-state-save-cloud-account.js,515,
function-declaration,initializeWorldEvolution,02-state-save-cloud-account.js,540,
function-declaration,createKartVehicleV704,02-state-save-cloud-account.js,543,
function-declaration,updateWorldEvolution,02-state-save-cloud-account.js,555,
function-declaration,createKartCircuitV704,02-state-save-cloud-account.js,583,
