type,module,functionBoundaryOwner,line,column,snippet
onclick,36a-vehicle-damage-repair-v704.js,openBrokenVehicleOptionsV704,32,443,"function openBrokenVehicleOptionsV704(vehicle){const d=vehicleDurabilityV704(vehicle);openModal('Veículo quebrado',`<p><b>${escapeHtml(vehicle?.label||'Veículo')}</b> está com ${d}% de integridade e não pode continuar.</p><div class=""modal-actions""><button class=""btn primary"" data-v704-tow>🚚 Rebocar para oficina • 20 moedas</button><button class=""btn good"" data-v704-repair>🛠 Reparar agora</button></div>`,root=>{$('[data-v704-tow]',root).onclick=()=>{if(towVehicleToWorkshopV704(vehicle))closeModal();};$('[data-v704-repair]',root).onclick=()=>{if(repairVehicleV704(vehicle)){closeModal();}};});}"
onclick,36a-vehicle-damage-repair-v704.js,openBrokenVehicleOptionsV704,32,537,"function openBrokenVehicleOptionsV704(vehicle){const d=vehicleDurabilityV704(vehicle);openModal('Veículo quebrado',`<p><b>${escapeHtml(vehicle?.label||'Veículo')}</b> está com ${d}% de integridade e não pode continuar.</p><div class=""modal-actions""><button class=""btn primary"" data-v704-tow>🚚 Rebocar para oficina • 20 moedas</button><button class=""btn good"" data-v704-repair>🛠 Reparar agora</button></div>`,root=>{$('[data-v704-tow]',root).onclick=()=>{if(towVehicleToWorkshopV704(vehicle))closeModal();};$('[data-v704-repair]',root).onclick=()=>{if(repairVehicleV704(vehicle)){closeModal();}};});}"
addEventListener,39-gm-admin-panel.js,gmWaitForStableAccountState,34,245,"return new Promise(resolve=>{let settled=false;const finish=()=>{if(settled)return;settled=true;clearTimeout(timer);window.removeEventListener('otthi:account-state-ready',finish);resolve(true);};const timer=setTimeout(finish,120000);window.addEventListener('otthi:account-state-ready',finish,{once:true});});"
onclick,13a-sports-kart-v704.js,openFootballV704,56,141,"setTimeout(()=>{const solo=document.getElementById('footballSoloV704'),online=document.getElementById('footballOnlineV704');if(solo)solo.onclick=()=>startFootballV704('solo');if(online)online.onclick=()=>startFootballV704('online');},0);"
onclick,13a-sports-kart-v704.js,openFootballV704,56,196,"setTimeout(()=>{const solo=document.getElementById('footballSoloV704'),online=document.getElementById('footballOnlineV704');if(solo)solo.onclick=()=>startFootballV704('solo');if(online)online.onclick=()=>startFootballV704('online');},0);"
addEventListener,39-gm-admin-panel.js,updateFarmPlotVisual,66,10,"window.addEventListener('otthi:gm-grant',event=>queueGMGrant(event.detail||{}));"
addEventListener,39-gm-admin-panel.js,createDigSites,80,68,"list.querySelectorAll('[data-gm-user]').forEach(button=>button.addEventListener('click',()=>gmSelectUser(button.dataset.gmUser)));"
addEventListener,39-gm-admin-panel.js,createThemedCitizens,93,49,"root.querySelector('[data-gm-grant-form]')?.addEventListener('submit',event=>gmSubmitGrant(event,userRecord));root.querySelector('[data-gm-refresh-user]')?.addEventListener('click',()=>gmSelectUser(userRecord.uid,true));"
addEventListener,39-gm-admin-panel.js,createThemedCitizens,93,161,"root.querySelector('[data-gm-grant-form]')?.addEventListener('submit',event=>gmSubmitGrant(event,userRecord));root.querySelector('[data-gm-refresh-user]')?.addEventListener('click',()=>gmSelectUser(userRecord.uid,true));"
addEventListener,40-world-evolution-v702.js,createCameraPitchButtons,97,8,"up.addEventListener('pointerdown',e=>{e.preventDefault();e.stopPropagation();change(.18);},{passive:false});down.addEventListener('pointerdown',e=>{e.preventDefault();e.stopPropagation();change(-.18);},{passive:false});WORLD_V702.cameraButtonsReady=true;"
addEventListener,40-world-evolution-v702.js,createCameraPitchButtons,97,118,"up.addEventListener('pointerdown',e=>{e.preventDefault();e.stopPropagation();change(.18);},{passive:false});down.addEventListener('pointerdown',e=>{e.preventDefault();e.stopPropagation();change(-.18);},{passive:false});WORLD_V702.cameraButtonsReady=true;"
addEventListener,39-gm-admin-panel.js,v704NearestConstructionSlot,121,46,"gmPanel.querySelector('[data-gm-close]').addEventListener('click',closeGMPanel);gmPanel.querySelector('[data-gm-refresh]').addEventListener('click',gmRefreshPanel);gmPanel.querySelector('[data-gm-search]').addEventListener('input',gmRenderUserList);return gmPanel;"
addEventListener,39-gm-admin-panel.js,v704NearestConstructionSlot,121,128,"gmPanel.querySelector('[data-gm-close]').addEventListener('click',closeGMPanel);gmPanel.querySelector('[data-gm-refresh]').addEventListener('click',gmRefreshPanel);gmPanel.querySelector('[data-gm-search]').addEventListener('input',gmRenderUserList);return gmPanel;"
addEventListener,39-gm-admin-panel.js,v704NearestConstructionSlot,121,211,"gmPanel.querySelector('[data-gm-close]').addEventListener('click',closeGMPanel);gmPanel.querySelector('[data-gm-refresh]').addEventListener('click',gmRefreshPanel);gmPanel.querySelector('[data-gm-search]').addEventListener('input',gmRenderUserList);return gmPanel;"
addEventListener,39-gm-admin-panel.js,normalizeAvatarV2,131,14,"submit.addEventListener('click',verify);input.addEventListener('keydown',event=>{if(event.key==='Enter'){event.preventDefault();verify();}});root.querySelector('[data-gm-access-cancel]').addEventListener('click',closeModal);setTimeout(()=>input?.focus(),80);"
addEventListener,39-gm-admin-panel.js,normalizeAvatarV2,131,53,"submit.addEventListener('click',verify);input.addEventListener('keydown',event=>{if(event.key==='Enter'){event.preventDefault();verify();}});root.querySelector('[data-gm-access-cancel]').addEventListener('click',closeModal);setTimeout(()=>input?.focus(),80);"
addEventListener,39-gm-admin-panel.js,normalizeAvatarV2,131,194,"submit.addEventListener('click',verify);input.addEventListener('keydown',event=>{if(event.key==='Enter'){event.preventDefault();verify();}});root.querySelector('[data-gm-access-cancel]').addEventListener('click',closeModal);setTimeout(()=>input?.focus(),80);"
addEventListener,39-gm-admin-panel.js,stopSportV704,137,15,"signature.addEventListener('click',recordTap);signature.addEventListener('keydown',event=>{if(event.key==='Enter'||event.key===' '){event.preventDefault();recordTap();}});"
addEventListener,39-gm-admin-panel.js,stopSportV704,137,61,"signature.addEventListener('click',recordTap);signature.addEventListener('keydown',event=>{if(event.key==='Enter'||event.key===' '){event.preventDefault();recordTap();}});"
addEventListener,39-gm-admin-panel.js,stopSportV704,138,14,"document.addEventListener('keydown',event=>{if(event.key==='Escape'&&gmPanel&&!gmPanel.hidden)closeGMPanel();});"
addEventListener,02-state-save-cloud-account.js,accountStatusText,669,14,"window.addEventListener('otthos:rtdb-ready',ready,{once:true});"
onclick,02-state-save-cloud-account.js,openAccountForm,746,13,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado com sucesso.','good',2600);if(typeof onReady==='function')onReady();else if(!creating)setTimeout(()=>location.reload(),550);}catch(e){showError(e.message||'Não foi possível concluir.');}};"
onclick,02-state-save-cloud-account.js,openAccountForm,747,36,"$('[data-account-back]',root).onclick=()=>openAccountCenter(required,onReady);setTimeout(()=>user.focus(),80);"
addEventListener,02-state-save-cloud-account.js,openAccountCenter,753,40,"$('[data-account-create]',root)?.addEventListener('click',()=>openAccountForm('create',required,onReady));$('[data-account-login]',root)?.addEventListener('click',()=>openAccountForm('login',required,onReady));"
addEventListener,02-state-save-cloud-account.js,openAccountCenter,753,145,"$('[data-account-create]',root)?.addEventListener('click',()=>openAccountForm('create',required,onReady));$('[data-account-login]',root)?.addEventListener('click',()=>openAccountForm('login',required,onReady));"
addEventListener,02-state-save-cloud-account.js,openAccountCenter,754,38,"$('[data-account-sync]',root)?.addEventListener('click',async e=>{e.currentTarget.disabled=true;e.currentTarget.textContent='Sincronizando...';const ok=await syncGameAccount(true);closeModal();toast(ok?'Progresso sincronizado.':'Sem conexão agora; a cópia local foi preservada.',ok?'good':'warn',2400);});"
addEventListener,02-state-save-cloud-account.js,openAccountCenter,755,40,"$('[data-account-logout]',root)?.addEventListener('click',()=>openAccountLogoutGate(required,onReady));"
addEventListener,02-state-save-cloud-account.js,openAccountCenter,756,41,"$('[data-account-offline]',root)?.addEventListener('click',()=>openPlayerNameModal(true,()=>{state.flags.accountPromptedV635=true;saveState(true);if(typeof onReady==='function')onReady();}));"
onclick,02-state-save-cloud-account.js,openAccountLogoutGate,763,13,"button.onclick=submit;$('[data-account-logout-back]',root).onclick=()=>openAccountCenter(required,onReady);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();submit();}};setTimeout(()=>input.focus(),80);"
onclick,02-state-save-cloud-account.js,openAccountLogoutGate,763,65,"button.onclick=submit;$('[data-account-logout-back]',root).onclick=()=>openAccountCenter(required,onReady);input.onkeydown=e=>{if(e.key==='Enter'){e.preventDefault();submit();}};setTimeout(()=>input.focus(),80);"
onclick,03-ui-modal-install-pwa.js,confirmModal,855,30,"$('[data-yes]', root).onclick = () => { closeModal(); resolve(true); };"
onclick,03-ui-modal-install-pwa.js,confirmModal,856,29,"$('[data-no]', root).onclick = () => { closeModal(); resolve(false); };"
onclick,03-ui-modal-install-pwa.js,confirmModal,860,17,els.modalClose.onclick = closeModal;
addEventListener,03-ui-modal-install-pwa.js,confirmModal,861,13,"els.modal.addEventListener('pointerdown', e => { if (e.target === els.modal) closeModal(); });"
addEventListener,03-ui-modal-install-pwa.js,updateInstallUI,882,10,"window.addEventListener('beforeinstallprompt', event => {"
addEventListener,03-ui-modal-install-pwa.js,updateInstallUI,887,10,"window.addEventListener('appinstalled', () => {"
onclick,03-ui-modal-install-pwa.js,updateInstallUI,908,37,if (els.installBtn) els.installBtn.onclick = installApp;
addEventListener,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,975,29,"navigator.serviceWorker.addEventListener('controllerchange', () => {"
addEventListener,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,987,20,"registration.addEventListener('updatefound', () => {"
addEventListener,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,990,16,"worker.addEventListener('statechange', () => {"
addEventListener,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,1008,12,"window.addEventListener('load', registerOtthiGameUpdates, { once:true });"
addEventListener,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,1010,10,"window.addEventListener('offline', () => toast('Sem internet. O progresso continua salvo neste aparelho.','warn',3200), { passive:true });"
addEventListener,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,1011,10,"window.addEventListener('online', () => {"
addEventListener,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,1015,10,"window.addEventListener('pageshow', () => probeOtthiGameUpdate(false), { passive:true });"
addEventListener,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,1016,12,"document.addEventListener('visibilitychange', () => {"
onclick,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,1022,40,"$('[data-coherence-reload]',root).onclick=()=>reloadForOtthiUpdate(`coherence-${Date.now()}`);"
onclick,04-education-daily-quiz.js,openEducationHub,1112,11,"root.onclick=e=>{const tabBtn=e.target.closest('[data-edu-tab]'),playBtn=e.target.closest('[data-edu-play]'),startBtn=e.target.closest('[data-academy-start]'),claimBtn=e.target.closest('[data-daily-claim]'),onlineBtn=e.target.closest('[data-open-online]');if(tabBtn){openEducationHub(tabBtn.dataset.eduTab);return;}if(startBtn){startSoloEducationGame(startBtn.dataset.academyStart,1);return;}if(playBtn){startSoloEducationGame(playBtn.dataset.eduPlay,Number(playBtn.dataset.eduLevel));return;}if(claimBtn){claimDailyQuest(Number(claimBtn.dataset.dailyClaim));return;}if(onlineBtn){openSocialHub();}};"
addEventListener,04-education-daily-quiz.js,runEducationGame,1123,94,"if(q.autoSpeak)setTimeout(()=>speakKidWord(q.speak),180);$('[data-edu-speak]',root)?.addEventListener('click',()=>speakKidWord(q.speak));"
onclick,04-education-daily-quiz.js,runEducationGame,1125,54,"$$('[data-edu-answer]',root).forEach(btn=>btn.onclick=()=>resolveAnswer(btn.dataset.eduAnswer,btn));"
onclick,04-education-daily-quiz.js,runEducationGame,1126,58,"$$('[data-sequence-token]',root).forEach(btn=>btn.onclick=()=>{if(locked||btn.disabled)return;sequence.push(q.tokens[Number(btn.dataset.sequenceToken)]);btn.disabled=true;$('#sequenceBuilt',root).textContent=sequence.join('');});"
addEventListener,04-education-daily-quiz.js,runEducationGame,1127,42,"$('[data-sequence-clear]',root)?.addEventListener('click',()=>{sequence=[];render();});$('[data-sequence-check]',root)?.addEventListener('click',()=>resolveAnswer(sequence.join(''),$('[data-sequence-check]',root)));"
addEventListener,04-education-daily-quiz.js,runEducationGame,1127,129,"$('[data-sequence-clear]',root)?.addEventListener('click',()=>{sequence=[];render();});$('[data-sequence-check]',root)?.addEventListener('click',()=>resolveAnswer(sequence.join(''),$('[data-sequence-check]',root)));"
onclick,04-education-daily-quiz.js,finishSoloEducationGame,1132,1178,"function finishSoloEducationGame(result){const passed=result.score>=3,stars=passed?(result.score===result.total?3:result.score>=4?2:1):0,key=`${result.subject}-${result.level}`,old=subjectLevelRecord(result.subject,result.level);state.learning.lessons[key]={completed:old.completed||passed,stars:Math.max(old.stars||0,stars),best:Math.max(old.best||0,result.score),attempts:(old.attempts||0)+1};state.learning.lastLesson=key;state.learning.subjectXP[result.subject]=(state.learning.subjectXP[result.subject]||0)+result.score*10;if(passed){state.learning.crowns+=(old.completed?0:1);if(result.score===result.total)state.learning.perfectLessons++;const coins=30+stars*18;addCoins(coins);addXP(25+stars*12);awardMedal(result.score===result.total?`${EDUCATION_SUBJECTS[result.subject].title} Perfeito`:`Aluno ${EDUCATION_SUBJECTS[result.subject].title}`);saveState(true);openModal('Fase concluída!',`<div class=""lesson-result""><div>${result.score===result.total?'🏆':'🎉'}</div><h3>${result.score}/${result"
onclick,04-education-daily-quiz.js,finishSoloEducationGame,1132,1570,"function finishSoloEducationGame(result){const passed=result.score>=3,stars=passed?(result.score===result.total?3:result.score>=4?2:1):0,key=`${result.subject}-${result.level}`,old=subjectLevelRecord(result.subject,result.level);state.learning.lessons[key]={completed:old.completed||passed,stars:Math.max(old.stars||0,stars),best:Math.max(old.best||0,result.score),attempts:(old.attempts||0)+1};state.learning.lastLesson=key;state.learning.subjectXP[result.subject]=(state.learning.subjectXP[result.subject]||0)+result.score*10;if(passed){state.learning.crowns+=(old.completed?0:1);if(result.score===result.total)state.learning.perfectLessons++;const coins=30+stars*18;addCoins(coins);addXP(25+stars*12);awardMedal(result.score===result.total?`${EDUCATION_SUBJECTS[result.subject].title} Perfeito`:`Aluno ${EDUCATION_SUBJECTS[result.subject].title}`);saveState(true);openModal('Fase concluída!',`<div class=""lesson-result""><div>${result.score===result.total?'🏆':'🎉'}</div><h3>${result.score}/${result"
onclick,04-education-daily-quiz.js,finishSoloEducationGame,1132,1660,"function finishSoloEducationGame(result){const passed=result.score>=3,stars=passed?(result.score===result.total?3:result.score>=4?2:1):0,key=`${result.subject}-${result.level}`,old=subjectLevelRecord(result.subject,result.level);state.learning.lessons[key]={completed:old.completed||passed,stars:Math.max(old.stars||0,stars),best:Math.max(old.best||0,result.score),attempts:(old.attempts||0)+1};state.learning.lastLesson=key;state.learning.subjectXP[result.subject]=(state.learning.subjectXP[result.subject]||0)+result.score*10;if(passed){state.learning.crowns+=(old.completed?0:1);if(result.score===result.total)state.learning.perfectLessons++;const coins=30+stars*18;addCoins(coins);addXP(25+stars*12);awardMedal(result.score===result.total?`${EDUCATION_SUBJECTS[result.subject].title} Perfeito`:`Aluno ${EDUCATION_SUBJECTS[result.subject].title}`);saveState(true);openModal('Fase concluída!',`<div class=""lesson-result""><div>${result.score===result.total?'🏆':'🎉'}</div><h3>${result.score}/${result"
onclick,05-avatar-life-customization.js,openAvatarStudio,1188,56,"$$('[data-avatar-type]', root).forEach(btn => btn.onclick = () => {"
