function,module,description,startLine,endBoundaryLine,bodyBoundarySha256,callOccurrences,if,else,switch,case,for,while,catch,return,throw,ternaryTokensApprox,calls
v704SportGroundY,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",6,6,55543d1ff4a5b3911b35be3f4d8ad4b906974826b269a0da967fc6c7f314300f,1,0,0,0,0,0,0,0,1,0,1,groundHeightAt
ensureVehicleDamageStateV704,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",7,10,ce859c8020c3b34f062f5646eefb666358916ac46d70d9fe54afd7d01f4e2cca,0,0,0,0,0,0,0,0,0,0,0,
v704SetRaceHud,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",11,15,fe57621681685ac22e81d8104c2b3335bd1a24022b7bc0f214ec7fef7d8458b5,0,1,0,0,0,0,0,0,2,0,2,
v704HideRaceHud,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",16,21,a9f177e0b6064c22c6c39879999819926e0981ac4472f5b058d1a2127defcabe,0,1,0,0,0,0,0,0,0,0,1,
v704SportBall,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",22,22,409bd9f301d6da48836f6e3103d31fc60c720763f9be28af45ef983055166cba,1,0,0,0,0,0,0,0,1,0,0,renderMat
vehicleIdV704,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",23,27,90a5db67543ee08107d39ae66a043a9ead4855c1694d8b6f83af1bc2d16f7e18,0,0,0,0,0,0,0,0,1,0,2,
v704CreateSimpleAthlete,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",28,28,e42c60077116cbac5c0b8c151b197057428a0c6f40899d1c569c92d688496ba8,0,0,0,0,0,0,0,0,0,0,0,
vehicleDurabilityV704,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",29,30,ea7ace6161136c524f2b60a1fa2265ae9e74f47a735cf96017fadd49020c63bd,2,1,0,0,0,0,0,0,2,0,2,ensureVehicleDamageStateV704 | vehicleIdV704
ensureWorldEvolutionState,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",31,34,ec277f59db92de21446337e36b78e262adf2c41771bf6f2cac3034d0cbb8d89d,0,0,0,0,0,0,0,0,0,0,0,
vehicleBrokenV704,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",35,40,eb879a98d96f691ac4cf6fa955e8863978e90da461cc412736f2baa5f24b0752,6,0,0,0,0,0,0,0,1,0,3,box | vehicleDurabilityV704 | vehicleIdV704
vehiclePerformanceV704,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",41,46,c835c8f28e25fe7bed90f3386d08362886c0330986317d659c80b527162e5643,1,4,0,0,0,0,0,0,7,0,2,vehicleDurabilityV704
setVehicleDurabilityV704,00-runtime-foundation.js,"Runtime, utilitários, versão, storage e chaves de migração",47,53,6a9f38fed3e541709a3b8b9e0044f3eb5386f3884044de411f3dc777cbd83c9f,3,1,0,0,0,0,0,0,1,0,0,ensureVehicleDamageStateV704 | vehicleDurabilityV704 | vehicleIdV704
ensureGMState,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",54,57,48651076bcaa8f7e031a42b25b42b1f0dc2472f2cf75f77743e61ea2364d7585,0,0,0,0,0,0,0,0,0,0,2,
v704FieldLine,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",58,63,dad0cf9d0107bcf9e65850ae3f40f6be2ee44677ed673fd67e3ed4105faf6d2d,1,1,0,0,0,0,0,0,1,0,2,stableBox
v704CreateGoal,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",64,82,b88489cc4e3d5b1a05adcac6d8ff12952673d77b47fe1ba64cf35604d7c8d8a9,9,3,0,0,0,2,0,0,2,0,2,applyWorldVehicleModulesToGroup | box | renderMat
spawnVehicleDebrisV704,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",83,84,c88a08635c30987901a7ed1ac131cd178f20a04d8d57232557dd935a463739ee,0,0,0,0,0,0,0,0,1,0,0,
professionalTerrainHeightAt,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",85,95,2bb70e3f625bfaea5c9fe2fa7933130dd34b3d24344026fa6e660dd106861b0e,1,2,0,0,0,1,0,0,3,0,2,box
