function,module,description,sourceStartLine,sourceEndLineApprox,callCountApprox,if,else,switch,case,for,while,catch,ternaryApprox,calledByBody
safeAvatarId,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",116,119,20,1,0,0,0,0,0,1,4,createKartVehicleV704 | createSignpost | ensureGMPanel | gmSetBusy | gmStatus | registerInteractable | startKartRaceV704 | v704ConstructionAt | v704PointInRect | v704ProtectedRectangles | v704ReservedAt | v704RoadAt | v704ZoneAt | worldLayoutStructure
safeAvatarColor,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",120,123,14,7,0,0,0,2,0,0,6,box | closeGMPanel | currentVehicleRef | cylinder | enterVehicle | startKartRaceV704 | toast | v704BuildAllowedAt | v704NearestConstructionSlot | v704PathRect | v704RectOverlap | v704RoadFootprint | v704StaticWorldAudit
safeLegacyAvatarChoice,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",124,127,10,3,0,0,0,2,0,0,6,ensureGMPanel | gmRenderSelected | openGMAccessGate | openModal | toast | updateKartRaceV704 | v704RoadFootprint | v704SetRaceHud | worldLayoutStructure
defaultAvatarV2,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",128,130,4,13,0,0,0,2,0,1,5,beep | closeModal | toast | v704RectOverlap
normalizeAvatarV2,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",131,160,60,45,1,0,0,20,0,2,33,addCoins | addXP | closeGMPanel | courtHitV704 | ensureGMState | footballKickV704 | handleActiveSportActionV704 | nearestRoadProjection | openGMAccessGate | positionBlockedForPlayer | registerGMHiddenTrigger | safeAvatarColor | safeAvatarId | safeLegacyAvatarChoice | stopSportV704 | toast | updateCourtV704 | updateFootballV704 | updateKartRaceV704 | updateWorldSportsV704 | v704ActualHouseRect | v704HideRaceHud | v704PathRect | v704PointInRect | v704ProtectedRectangles | v704PublishSport | v704RectOverlap | v704RoadFootprint | v704RuntimeWorldAudit | v704SetRaceHud | worldLayoutPoint | worldLayoutStructure
updateAvatarV2LegacyChoice,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",161,191,3,3,0,0,0,0,0,0,1,normalizeAvatarV2 | safeLegacyAvatarChoice
registerVisualAsset,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",192,199,0,1,0,0,0,0,0,0,4,
updateVisualAsset,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",200,202,1,0,0,0,0,0,0,0,0,registerVisualAsset
visualAssetStatus,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",203,213,0,0,0,0,0,1,0,0,0,
visualQualityProfile,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",214,216,0,0,0,0,0,0,0,0,0,
createManagedLOD,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",217,236,2,2,0,0,0,0,0,0,1,registerVisualAsset
applyVisualQualityBudget,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",237,246,1,1,0,0,0,1,0,0,3,visualQualityProfile
updateManagedVisualLODs,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",247,257,1,1,0,0,0,1,0,1,2,updateVisualAsset
outlineBelongsToPlayer,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",258,265,0,1,0,0,0,0,1,0,1,
updateManagedOutlineVisibility,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",266,286,2,4,1,0,0,1,0,0,3,outlineBelongsToPlayer | visualQualityProfile
visualFoundationDiagnostics,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",287,313,1,1,1,0,0,1,0,0,4,visualAssetStatus
createAvatarRigFoundation,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",314,347,1,7,0,0,0,0,0,0,1,registerVisualAsset
avatarFoundationDiagnostics,00a-visual-foundation-avatar-v2.js,"Registro central de assets, LOD gerenciado, orçamento visual e esquema de avatar V2",348,368,1,0,0,0,0,0,0,0,11,registerVisualAsset
stableBuildId,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",369,374,0,0,0,0,0,1,0,0,0,
normalizeBuildRecord,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",375,381,1,2,0,0,0,0,0,0,1,stableBuildId
normalizeBuildList,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",382,390,1,2,0,0,0,0,0,0,1,normalizeBuildRecord
normalizeBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",391,399,0,3,0,0,0,0,0,0,3,
mergeBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",400,400,1,0,0,0,0,0,0,0,0,normalizeBuildTombstones
applyBuildTombstones,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",401,404,2,0,0,0,0,0,0,0,0,normalizeBuildList | normalizeBuildTombstones
mergeBuildCollections,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",405,407,2,0,0,0,0,0,0,0,0,applyBuildTombstones | normalizeBuildList
mergeEntityCollections,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",408,489,1,2,0,0,0,0,0,0,3,defaultAvatarV2
