line,tag,id,classes,parent
2,html,,,
3,head,,,html
4,meta,,,head
5,meta,,,head
6,meta,,,head
7,meta,,,head
8,meta,,,head
9,meta,,,head
10,meta,,,head
11,title,,,head
12,link,,,head
13,link,,,head
14,link,,,head
15,link,,,head
16,script,,,head
17,script,,,head
40,body,,,html
41,div,app,app,body
42,section,lobby,screen lobby active,app
43,div,,lobby-backdrop,lobby
44,header,,brand-card,lobby
45,div,,brand-avatar,header
45,span,,,div
45,span,,,div
46,div,,,header
47,p,,eyebrow,div
48,h1,,,div
49,p,,,div
53,main,,lobby-layout,lobby
54,section,,panel hero-panel,main
55,div,viewerShell,viewer-shell,section
56,div,viewerPlaceholder,viewer-placeholder,viewerShell
57,div,,viewer-placeholder-mark,viewerPlaceholder
58,strong,,,viewerPlaceholder
59,span,viewerStatus,,viewerPlaceholder
60,button,viewerLoadBtn,btn primary,viewerPlaceholder
62,model-viewer,nativeViewer,,viewerShell
63,button,insideArBtn,floating-ar-btn,nativeViewer
66,div,,hero-copy,section
67,span,,badge,div
68,h2,,,div
69,p,,,div
70,div,,hero-actions,div
71,button,playBtn,btn primary xl,div
72,button,continueBtn,btn xl,div
77,aside,,panel menu-panel,main
78,button,profileNameBtn,profile-name-card,aside
79,b,,,profileNameBtn
79,span,,,profileNameBtn
79,small,,,span
79,strong,lobbyPlayerName,,span
79,i,accountStatusLabel,,profileNameBtn
81,div,,profile-strip,aside
82,div,,profile-level,div
82,small,,,div
82,strong,lobbyLevel,,div
83,div,,,div
83,small,,,div
83,strong,lobbyCoins,,div
84,div,,,div
84,small,,,div
84,strong,lobbyRep,,div
85,div,,,div
85,small,,,div
85,strong,lobbyMedals,,div
87,div,,menu-grid,aside
88,button,installBtn,menu-tile install app-install-tile,div
88,img,,,installBtn
88,span,,,installBtn
88,strong,,,span
88,small,,,span
89,button,arBtn,menu-tile,div
89,b,,,arBtn
89,span,,,arBtn
90,button,quizBtn,menu-tile academy-tile,div
90,b,,,quizBtn
90,span,,,quizBtn
90,small,,,quizBtn
91,button,learningPathBtn,menu-tile learning-path-tile,div
91,b,,,learningPathBtn
91,span,,,learningPathBtn
91,small,,,learningPathBtn
92,button,neighborhoodBtn,menu-tile neighborhood-tile,div
92,b,,,neighborhoodBtn
92,span,,,neighborhoodBtn
92,small,,,neighborhoodBtn
93,button,collectionBtn,menu-tile,div
93,b,,,collectionBtn
93,span,,,collectionBtn
94,button,avatarBtn,menu-tile,div
94,b,,,avatarBtn
94,span,,,avatarBtn
95,button,accountBtn,menu-tile account-tile,div
95,b,,,accountBtn
95,span,,,accountBtn
