kind,module,sourceLine,declaration
const,00-runtime-foundation.js,6,"OTTHI_GAME_LIVE_BASE = new URL('./', window.location.href).href;"
const,00-runtime-foundation.js,7,OTTHI_GAME_WEB_BUILD = '704.0-world-reconstruction-complete';
const,00-runtime-foundation.js,10,OTTHI_INDEX_BUILD = document.documentElement?.dataset?.otthiBuild || '';
const,00-runtime-foundation.js,11,OTTHI_RELEASE_REVISION = document.documentElement?.dataset?.otthiRevision || '';
const,00-runtime-foundation.js,13,OTTHI_CONFIG_BUILD = window.OTTHI_CONFIG?.build || '';
const,00-runtime-foundation.js,17,"$ = (s, root = document) => root.querySelector(s);"
const,00-runtime-foundation.js,18,"$$ = (s, root = document) => [...root.querySelectorAll(s)];"
const,00-runtime-foundation.js,19,"clamp = (v, a, b) => Math.max(a, Math.min(b, v));"
const,00-runtime-foundation.js,20,"lerp = (a, b, t) => a + (b - a) * t;"
const,00-runtime-foundation.js,21,"approachNumber=(value,target,step)=>value<target?Math.min(target,value+Math.abs(step)):Math.max(target,value-Math.abs(step));"
const,00-runtime-foundation.js,22,"lerpAngle = (a, b, t) => { let d=((b-a+Math.PI)%(Math.PI*2))-Math.PI; if(d<-Math.PI)d+=Math.PI*2; return a+d*t; };"
const,00-runtime-foundation.js,23,"distance2D = (a, b) => Math.hypot(a.x - b.x, a.z - b.z);"
const,00-runtime-foundation.js,24,uid = () => (crypto.randomUUID ? crypto.randomUUID() : `p-${Date.now()}-${Math.random().toString(16).slice(2)}`);
const,00-runtime-foundation.js,25,"safePointerCapture=(element,pointerId)=>{try{if(element?.setPointerCapture&&Number.isInteger(pointerId))element.setPointerCapture(pointerId);return true;}catch{return false;}};"
const,00-runtime-foundation.js,26,"safePointerRelease=(element,pointerId)=>{try{if(element?.hasPointerCapture?.(pointerId))element.releasePointerCapture(pointerId);return true;}catch{return false;}};"
const,00-runtime-foundation.js,27,APP_VERSION = 704;
const,00-runtime-foundation.js,28,STORAGE_KEY = 'otthos_life_world_roleplay_v700';
const,00-runtime-foundation.js,29,"LEGACY_STORAGE_KEYS = ['otthos_life_world_roleplay_v646','otthos_life_world_roleplay_v645','otthos_life_world_roleplay_v644','otthos_life_world_roleplay_v643','otthos_life_world_roleplay_v642','otthos_life_world_roleplay_v641','otthos_life_world_roleplay_v640','otthos_life_world_roleplay_v639','otthos_life_world_roleplay_v638','otthos_life_world_roleplay_v637','otthos_life_world_roleplay_v636','otthos_life_world_roleplay_v635','otthos_life_world_roleplay_v634','otthos_life_world_roleplay_v633','otthos_life_world_roleplay_v632','otthos_life_world_roleplay_v631','otthos_life_world_roleplay_v630','otthos_life_world_roleplay_v629','otthos_life_world_roleplay_v628','otthos_life_world_roleplay_v62"
const,00-runtime-foundation.js,30,safeLocalGet = key => { try { return window.localStorage?.getItem(key) ?? null; } catch { return null; } };
const,00-runtime-foundation.js,31,"safeLocalSet = (key, value) => { try { window.localStorage?.setItem(key, value); return true; } catch { return false; } };"
const,00-runtime-foundation.js,32,safeLocalRemove = key => { try { window.localStorage?.removeItem(key); return true; } catch { return false; } };
const,00-runtime-foundation.js,33,configuredRoomIds = () => (window.OTTHI_CONFIG?.rooms || []).map(item => item.id);
const,00-runtime-foundation.js,34,normalizeRoomId = value => {
